<TagsetFile>
./tagset.dat
</TagsetFile>
<UnknownTags>
NCNDL0 22
NCNDN0 17
NCNPA0 820
NCNPD0 56
NCNPG0 1296
NCNPI0 338
NCNPL0 555
NCNPN0 545
NCNSA0 3653
NCNSD0 319
NCNSG0 3933
NCNSI0 951
NCNSL0 2480
NCNSN0 2662
NPFDG0 1
NPFDI0 2
NPFDL0 2
NPFPA0 22
NPFPD0 5
NPFPG0 73
NPFPI0 19
NPFPL0 117
NPFPN0 166
NPFSA0 445
NPFSD0 132
NPFSG0 1210
NPFSI0 220
NPFSL0 962
NPFSN0 2442
NPMDA0 6
NPMDD0 1
NPMDG0 3
NPMDN0 10
NPMPA0 59
NPMPD0 37
NPMPG0 137
NPMPI0 43
NPMPL0 40
NPMPN0 246
NPMSAN 263
NPMSAY 539
NPMSD0 279
NPMSG0 1488
NPMSI0 387
NPMSL0 892
NPMSN0 8007
NPNPG0 2
NPNPN0 3
NPNSA0 30
NPNSD0 3
NPNSG0 83
NPNSI0 10
NPNSL0 253
NPNSN0 146
RGC 1959
RGP 20989
RGS 674
RR0 95
VA0C0000 2563
VA0F1D0N 8
VA0F1P0N 205
VA0F1S0N 128
VA0F2D0N 5
VA0F2P0N 201
VA0F2S0N 33
VA0F3D0N 61
VA0F3P0N 808
VA0F3S0N 1832
VA0M1P00 4
VA0M2P00 13
VA0M2S00 7
VA0N0000 187
VA0P0DF0 19
VA0P0DM0 61
VA0P0DN0 3
VA0P0PF0 152
VA0P0PM0 307
VA0P0PN0 44
VA0P0SF0 605
VA0P0SM0 828
VA0P0SN0 727
VA0R1D0N 86
VA0R1D0Y 8
VA0R1P0N 621
VA0R1P0Y 55
VA0R1S0N 814
VA0R1S0Y 119
VA0R2D0N 12
VA0R2D0Y 2
VA0R2P0N 198
VA0R2P0Y 32
VA0R2S0N 79
VA0R2S0Y 11
VA0R3D0N 581
VA0R3D0Y 35
VA0R3P0N 4593
VA0R3P0Y 357
VA0R3S0N 13486
VA0R3S0Y 1561
VMBM1P00 11
VMBM2D00 4
VMBM2P00 20
VMBM2S00 7
VMBN0000 373
VMBP0DF0 8
VMBP0DM0 35
VMBP0DN0 4
VMBP0PF0 19
VMBP0PM0 328
VMBP0PN0 8
VMBP0SF0 226
VMBP0SM0 406
VMBP0SN0 147
VMBR1D00 5
VMBR1P00 130
VMBR1S00 93
VMBR2D00 6
VMBR2P00 36
VMBR2S00 25
VMBR3D00 20
VMBR3P00 285
VMBR3S00 1031
VMBU0000 4
VMEM1D00 6
VMEM1P00 118
VMEM2D00 6
VMEM2P00 400
VMEM2S00 69
VMEN0000 2217
VMEP0DF0 60
VMEP0DM0 320
VMEP0DN0 10
VMEP0PF0 399
VMEP0PM0 3071
VMEP0PN0 61
VMEP0SF0 2288
VMEP0SM0 4403
VMEP0SN0 1015
VMER1D00 8
VMER1P00 836
VMER1S00 223
VMER2D00 9
VMER2P00 299
VMER2S00 61
VMER3D00 56
VMER3P00 839
VMER3S00 1914
VMEU0000 14
VMPM1P00 24
VMPM2D00 3
VMPM2P00 124
VMPM2S00 51
VMPN0000 1305
VMPP0DF0 44
VMPP0DM0 174
VMPP0DN0 9
VMPP0PF0 299
VMPP0PM0 1636
VMPP0PN0 50
VMPP0SF0 1061
VMPP0SM0 1815
VMPP0SN0 482
VMPR1D00 26
VMPR1D0N 3
VMPR1P00 902
VMPR1P0N 81
VMPR1P0Y 17
VMPR1S00 532
VMPR1S0N 60
VMPR1S0Y 26
VMPR2D00 13
VMPR2D0N 3
VMPR2P00 299
VMPR2P0N 48
VMPR2P0Y 11
VMPR2S00 104
VMPR2S0N 15
VMPR2S0Y 6
VMPR3D00 160
VMPR3D0N 23
VMPR3D0Y 5
VMPR3P00 2778
VMPR3P0N 237
VMPR3P0Y 54
VMPR3S00 4896
VMPR3S0N 423
VMPR3S0Y 99
VMPU0000 28
X0 137
XF 693
Y 1123
</UnknownTags>
<Theeta>
3.75922983927708e-05
</Theeta>
<Suffixes>
ažljajev 2 NCMPG0 2
tevilke 12 NCFPA0 6 NCFPN0 6
ruzalem 3 NPMSN0 1 NPMSAN 2
ozivna 3 AGPFSN0 3
ovnikom 5 NCMSI0 3 NCMPD0 2
otopisov 2 NCMPG0 2
lovenijo 45 NPFSA0 37 NPFSI0 8
egovor 2 NCMSN0 2
osežkih 3 NCMPL0 3
eduro 3 NCFSA0 3
oteguje 3 VMPR3S00 3
žigu 2 NPMSD0 1 NCMSD0 1
grobem 4 AGPNSL0 4
holas 2 NPMSN0 2
vzdolžno 3 AGPFSA0 2 RGP 1
relci 2 NCMPN0 2
čunati 7 VMPN0000 3 VMEN0000 4
k 4960 NPFSA0 6 NPFSL0 1 NCMDG0 2 NCFSG0 1 AGPMSNN 87 NCNPG0 4 AGPMSAN 62 NPMSG0 6 X0 6 NCMSN0 1607 NCFPG0 465 NCFSL0 1 NPMSN0 525 NPFSI0 2 NPFSD0 1 NPFSN0 49 NCMSI0 1 XF 7 NPFPG0 8 NPMSL0 2 NCMSG0 5 NCFSN0 3 NCMSAN 1000 NCFDG0 8 NCMPG0 75 NPMSAN 20 RGP 48 NPFSG0 8
formalni 3 AGPFSD0 2 AGPFSL0 1
aradoxa 2 NPMSG0 2
segala 8 VMPP0SF0 8
johnu 2 NPMSD0 1 NPMSL0 1
stvenik 5 NCMSN0 5
tcu 8 NCMSL0 7 NPMSL0 1
onskih 35 AGPMPG0 14 AGPMPL0 4 AGPNPG0 6 AGPFPL0 4 AGPFPG0 7
alaga 3 VMPR3S00 3
ačenih 4 APPMPL0 1 APPNPL0 1 APPFPG0 1 APPMPG0 1
imivo 46 AGPNSN0 26 AGPFSA0 10 AGPNSA0 1 RGP 9
ografija 23 NCFSN0 23
tekme 31 NCFSG0 20 NCFPA0 6 NCFPN0 5
navedel 6 VMEP0SM0 6
entacije 6 NCFSG0 6
puščalo 2 VMPP0SN0 2
akso 11 NCFSI0 4 NCFSA0 7
isotnost 6 NCFSN0 2 NCFSA0 4
dent 7 NCMSN0 7
veštvu 2 NCNSD0 2
akričala 2 VMEP0SF0 2
uradov 4 NCMPG0 4
rpol 2 NPMSN0 2
metod 9 NCFPG0 8 NPMSN0 1
