# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 0 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for emtpy string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: F=original form, R=root found in dict, L=lemma in matching dict entry, 
#                    AF/AR/AL=affix followed by F/R/L, FA/RA/LA=F/R/L followed by affix
# 9 Consider the suffix always, not only for unknown words.
# 00 How to retokenize the word if necessary (see uer manual).
#==============================================================

<Prefixes>

# --- Prefixos patrimonials

-te-les	*	^V	*	0	1	0	L	1	$$+-te+-les:$$+PP+PP
-te'n	*	^V	*	0	1	0	L	1	$$+-te+'n:$$+PP+PP
-t'hi	*	^V	*	0	1	0	L	1	$$+-t+'hi:$$+PP+PP
-t'ho	*	^V	*	0	1	0	L	1	$$+-t+'ho:$$+PP+PP
-te'l	*	^V	*	0	1	0	L	1	$$+-te+'l:$$+PP+PP
-te'ls	*	^V	*	0	1	0	L	1	$$+-te+'ls:$$+PP+PP
-nos-la	*	^V	*	0	1	0	L	1	$$+-nos+-la:$$+PP+PP
-nos-les	*	^V	*	0	1	0	L	1	$$+-nos+-les:$$+PP+PP
-nos-el	*	^V	*	0	1	0	L	1	$$+-nos+-el:$$+PP+PP
-nos-els	*	^V	*	0	1	0	L	1	$$+-nos+-els:$$+PP+PP
-vos-la	*	^V	*	0	1	0	L	1	$$+-vos+-la:$$+PP+PP
-vos-les	*	^V	*	0	1	0	L	1	$$+-vos+-les:$$+PP+PP
-vos-ho	*	^V	*	0	1	0	L	1	$$+-vos+-ho:$$+PP+PP
-vos-hi	*	^V	*	0	1	0	L	1	$$+-vos+-hi:$$+PP+PP
-vos-en	*	^V	*	0	1	0	L	1	$$+-vos+-en:$$+PP+PP
-vos-el	*	^V	*	0	1	0	L	1	$$+-vos+-el:$$+PP+PP
-vos-els	*	^V	*	0	1	0	L	1	$$+-vos+-els:$$+PP+PP
-se'm	*	^V	*	0	1	0	L	1	$$+-se+'m:$$+P0+PP
-se't	*	^V	*	0	1	0	L	1	$$+-se+'t:$$+P0+PP
-se'ns	*	^V	*	0	1	0	L	1	$$+-se+'ns:$$+P0+PP
-se-us	*	^V	*	0	1	0	L	1	$$+-se+-us:$$+P0+PP
-se-la	*	^V	*	0	1	0	L	1	$$+-se+-la:$$+P0+PP
-se-les	*	^V	*	0	1	0	L	1	$$+-se+-les:$$+P0+PP
-se'l	*	^V	*	0	1	0	L	1	$$+-se+'l:$$+P0+PP
-se'n	*	^V	*	0	1	0	L	1	$$+-se+'n:$$+P0+PP
-s'hi	*	^V	*	0	1	0	L	1	$$+-s+'hi:$$+P0+PP
-s'ho	*	^V	*	0	1	0	L	1	$$+-s+'ho:$$+P0+PP
-se'ls	*	^V	*	0	1	0	L	1	$$+-se+'ls:$$+P0+PP
-se-li	*	^V	*	0	1	0	L	1	$$+-se+-li:$$+P0+PP
-se-me-la	*	^V	*	0	1	0	L	1	$$+-se+-me+-la:$$+P0+PP+PP
-se-me-les	*	^V	*	0	1	0	L	1	$$+-se+-me+-les:$$+P0+PP+PP
-se-me'l	*	^V	*	0	1	0	L	1	$$+-se+-me+'l:$$+P0+PP+PP
-se-me'n	*	^V	*	0	1	0	L	1	$$+-se+-me+'n:$$+P0+PP+PP
-se-m'hi	*	^V	*	0	1	0	L	1	$$+-se+-m+'hi:$$+P0+PP+PP
-se-m'ho	*	^V	*	0	1	0	L	1	$$+-se+-m+'ho:$$+P0+PP+PP
-se-me'ls	*	^V	*	0	1	0	L	1	$$+-se+-me+'ls:$$+P0+PP+PP
-se-te-la	*	^V	*	0	1	0	L	1	$$+-se+-te+-la:$$+P0+PP+PP
-se-te-les	*	^V	*	0	1	0	L	1	$$+-se+-te+-les:$$+P0+PP+PP
-se-te'l	*	^V	*	0	1	0	L	1	$$+-se+-te+'l:$$+P0+PP+PP
-se-te'n	*	^V	*	0	1	0	L	1	$$+-se+-te+'n:$$+P0+PP+PP
-se-t'hi	*	^V	*	0	1	0	L	1	$$+-se+-t+'hi:$$+P0+PP+PP
-se-t'ho	*	^V	*	0	1	0	L	1	$$+-se+-t+'ho:$$+P0+PP+PP
-se-te'ls	*	^V	*	0	1	0	L	1	$$+-se+-te+'ls:$$+P0+PP+PP
