# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 1 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for empty string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: any combination of: F,R,L,A,<literal> separated with '+'
#                    where: F=original form, R=root found in dict, 
# 		            L=lemma in matching dict entry, A=affix
#                    examples:  A+L=affix+lemma,  R=root,  R+mente= root+"mente"
# 9 Consider the suffix always, not only for unknown words.
# 10 How to retokenize the word if necessary (see uer manual).
#==============================================================


<Prefixes>
senoslas	*	^V	*	0	1	0	L	1	$$+se+nos+las:$$+PP+PP+PP
senoslo	*	^V	*	0	1	0	L	1	$$+se+nos+lo:$$+PP+PP+PP
senoslos	*	^V	*	0	1	0	L	1	$$+se+nos+los:$$+PP+PP+PP
seosla	*	^V	*	0	1	0	L	1	$$+se+os+la:$$+PP+PP+PP
seoslas	*	^V	*	0	1	0	L	1	$$+se+os+las:$$+PP+PP+PP
seoslo	*	^V	*	0	1	0	L	1	$$+se+os+lo:$$+PP+PP+PP
seoslos	*	^V	*	0	1	0	L	1	$$+se+os+los:$$+PP+PP+PP
temela	*	^V	*	0	1	0	L	1	$$+te+me+la:$$+PP+PP+PP
temelas	*	^V	*	0	1	0	L	1	$$+te+me+las:$$+PP+PP+PP
temelo	*	^V	*	0	1	0	L	1	$$+te+me+lo:$$+PP+PP+PP
temelos	*	^V	*	0	1	0	L	1	$$+te+me+los:$$+PP+PP+PP
tetela	*	^V	*	0	1	0	L	1	$$+te+te+la:$$+PP+PP+PP
tetelas	*	^V	*	0	1	0	L	1	$$+te+te+las:$$+PP+PP+PP
tetelo	*	^V	*	0	1	0	L	1	$$+te+te+lo:$$+PP+PP+PP
tetelos	*	^V	*	0	1	0	L	1	$$+te+te+los:$$+PP+PP+PP
tenosla	*	^V	*	0	1	0	L	1	$$+te+nos+la:$$+PP+PP+PP
tenoslas	*	^V	*	0	1	0	L	1	$$+te+nos+las:$$+PP+PP+PP
tenoslo	*	^V	*	0	1	0	L	1	$$+te+nos+lo:$$+PP+PP+PP
tenoslos	*	^V	*	0	1	0	L	1	$$+te+nos+los:$$+PP+PP+PP
teosla	*	^V	*	0	1	0	L	1	$$+te+os+la:$$+PP+PP+PP
teoslas	*	^V	*	0	1	0	L	1	$$+te+os+las:$$+PP+PP+PP
teoslo	*	^V	*	0	1	0	L	1	$$+te+os+lo:$$+PP+PP+PP
teoslos	*	^V	*	0	1	0	L	1	$$+te+os+los:$$+PP+PP+PP

#vete
te	*	^VMM02S0	*	0	1	0	L	1	$$+te:$$+PP

#duérmase/duérmanse
se	*	^VMM03	*	0	1	0	L	1	$$+se:$$+PP

#vámonos,comámonos
nos	s	^VMM01P0	*	0	1	0	L	1	$$+nos:$$+PP

#animaos, coméosla
os	d	^VMM02P0	*	0	1	0	L	1	$$+os:$$+PP
osla	d	^VMM02P0	*	0	1	0	L	1	$$+os+la:$$+PP+PP
oslas	d	^VMM02P0	*	0	1	0	L	1	$$+os+las:$$+PP+PP
oslo	d	^VMM02P0	*	0	1	0	L	1	$$+os+lo:$$+PP+PP
oslos	d	^VMM02P0	*	0	1	0	L	1	$$+os+los:$$+PP+PP
osle	d	^VMM02P0	*	0	1	0	L	1	$$+os+le:$$+PP+PP
osles	d	^VMM02P0	*	0	1	0	L	1	$$+os+les:$$+PP+PP

## CSM: added suffixes

mel	*	^V	*	0	1	0	L	0	$$+me+l:$$+PP+PP
tel	*	^V	*	0	1	0	L	0	$$+te+l:$$+PP+PP
nosl	*	^V	*	0	1	0	L	0	$$+nos+l:$$+PP+PP
sel	*	^V	*	0	1	0	L	0	$$+se+l:$$+PP+PP
semel	*	^V	*	0	1	0	L	0	$$+se+me+l:$$+PP+PP+PP
setel	*	^V	*	0	1	0	L	0	$$+se+te+l:$$+PP+PP+PP
senosl	*	^V	*	0	1	0	L	0	$$+se+nos+l:$$+PP+PP+PP
seosl	*	^V	*	0	1	0	L	0	$$+se+os+l:$$+PP+PP+PP
temel	*	^V	*	0	1	0	L	0	$$+te+me+l:$$+PP+PP+PP
tetel	*	^V	*	0	1	0	L	0	$$+te+te+l:$$+PP+PP+PP
tenosl	*	^V	*	0	1	0	L	0	$$+te+nos+l:$$+PP+PP+PP
teosl	*	^V	*	0	1	0	L	0	$$+te+os+l:$$+PP+PP+PP
l	*	^V	*	1	1	0	L	0	$$+l:$$+PP
li	*	^V	*	1	1	0	L	0	$$+li:$$+PP
ge	*	^V	*	1	1	0	L	0	$$+ge:$$+PP
geme	*	^V	*	0	1	0	L	0	$$+ge+me:$$+PP+PP
gete	*	^V	*	0	1	0	L	0	$$+ge+te:$$+PP+PP
genos	*	^V	*	0	1	0	L	0	$$+ge+nos:$$+PP+PP
geos	*	^V	*	0	1	0	L	0	$$+ge+os:$$+PP+PP
gel	*	^V	*	0	1	0	L	0	$$+ge+lo:$$+PP+PP
gela	*	^V	*	0	1	0	L	0	$$+ge+la:$$+PP+PP
gelas	*	^V	*	0	1	0	L	0	$$+ge+las:$$+PP+PP
gelo	*	^V	*	0	1	0	L	0	$$+ge+lo:$$+PP+PP
gelos	*	^V	*	0	1	0	L	0	$$+ge+los:$$+PP+PP
gele	*	^V	*	0	1	0	L	0	$$+ge+le:$$+PP+PP
geles	*	^V	*	0	1	0	L	0	$$+ge+les:$$+PP+PP
gemela	*	^V	*	0	1	0	L	0	$$+ge+me+la:$$+PP+PP+PP
gemelas	*	^V	*	0	1	0	L	0	$$+ge+me+las:$$+PP+PP+PP
gemelo	*	^V	*	0	1	0	L	0	$$+ge+me+lo:$$+PP+PP+PP
gemelos	*	^V	*	0	1	0	L	0	$$+ge+me+los:$$+PP+PP+PP
getela	*	^V	*	0	1	0	L	0	$$+ge+te+la:$$+PP+PP+PP
getelas	*	^V	*	0	1	0	L	0	$$+ge+te+las:$$+PP+PP+PP
getelo	*	^V	*	0	1	0	L	0	$$+ge+te+lo:$$+PP+PP+PP
getelos	*	^V	*	0	1	0	L	0	$$+ge+te+los:$$+PP+PP+PP
